t,select,stat,lstat,poll,recvfrom,read,fcntl,close,sendto,access,fstat,setitimer,cachestat,set_mempolicy_home_node,futex_waitv,process_mrelease,memfd_secret,landlock_restrict_self,landlock_add_rule,landlock_create_ruleset
0,868.0,343.4,209.2,207.0,204.4,166.6,128.4,109.6,95.4,94.6,89.2,74.4,72.4,72.2,72.0,71.8,71.6,71.4,71.2,71.0
t,stat,read,poll,recvfrom,lstat,open,access,sendto,fstat,close,lseek,rt_sigaction,fcntl,writev,munmap,setitimer,write,times,mmap,chdir
1,4671.8,1474.2,1449.0,1257.8,1185.6,946.0,712.6,701.8,594.6,522.6,297.6,280.4,219.0,156.2,101.4,96.6,93.8,92.2,88.0,64.4
