t,stat,lstat,select,poll,recvfrom,cachestat,set_mempolicy_home_node,futex_waitv,process_mrelease,memfd_secret,landlock_restrict_self,landlock_add_rule,landlock_create_ruleset,quotactl_fd,mount_setattr,epoll_pwait2,process_madvise,faccessat2,pidfd_getfd,openat2
0,246.6,160.6,114.2,100.2,99.6,72.4,72.2,72.0,71.8,71.6,71.4,71.2,71.0,70.8,70.6,70.4,70.2,70.0,69.8,69.6
t,stat,poll,recvfrom,access,sendto,read,lstat,open,close,rt_sigaction,fcntl,fstat,lseek,setitimer,writev,write,times,munmap,chdir,socket
1,3398.4,766.8,682.4,516.6,362.6,308.2,297.2,241.2,130.6,126.0,113.6,79.6,47.0,45.0,40.0,33.8,32.2,31.0,30.0,28.8
