t,stat,access,lstat,rt_sigaction,read,munmap,poll,recvfrom,close,open,mmap,fstat,sendto,lseek,fcntl,getpid,brk,getdents,getcwd,set_robust_list
0,1590.2,1143.7,1019.8,906.7,797.8,369.7,356.3,319.1,307.7,296.6,284.3,257.7,238.0,155.6,135.0,69.1,59.6,49.0,48.3,44.0
1,1899.2,1544.4,1212.1,987.2,971.4,673.0,526.0,466.6,450.2,435.8,383.0,338.0,301.4,280.6,132.6,109.8,86.8,65.6,64.4,62.2
