t,select,poll,recvfrom,sendto,stat,fcntl,lstat,close,read,fstat,access,wait4,open,pipe,cachestat,set_mempolicy_home_node,futex_waitv,process_mrelease,memfd_secret,landlock_restrict_self
0,982.8,695.0,682.6,354.4,317.6,250.4,245.6,238.2,185.6,131.8,115.2,104.2,97.4,95.8,72.4,72.2,72.0,71.8,71.6,71.4
1,979.8,693.6,673.6,347.2,316.8,244.4,237.6,236.0,185.6,130.8,112.6,97.0,93.0,92.0,37.8,32.0,28.6,18.4,14.6,13.6
