t,stat,access,lstat,rt_sigaction,read,poll,recvfrom,open,close,mmap,sendto,munmap,fstat,lseek,fcntl,getpid,brk,getdents,set_robust_list,epoll_create1
0,1377.6,996.1,802.8,799.7,660.8,318.3,285.1,248.4,236.3,208.3,192.0,189.7,187.5,128.2,85.6,64.3,47.4,44.6,40.4,39.9
t,stat,access,lstat,read,rt_sigaction,open,close,fstat,poll,recvfrom,munmap,lseek,mmap,sendto,fcntl,getdents,getpid,writev,brk,madvise
1,1914.0,1454.6,1322.0,1273.7,753.4,442.0,388.8,374.4,356.6,306.4,298.2,269.6,232.6,184.4,83.2,70.0,54.6,49.2,47.4,40.0
