t,setitimer,read,select,rt_sigaction,stat,access,close,mmap,munmap,fstat,lstat,open,fcntl,mprotect,poll,brk,recvfrom,lseek,getpid,sendto
0,7654.0,4289.8,3819.9,941.7,586.0,556.1,507.1,418.9,336.1,326.5,319.2,263.4,222.0,175.2,122.1,121.8,109.5,94.4,77.5,74.0
t,setitimer,read,select,access,stat,open,rt_sigaction,lstat,close,mmap,fstat,poll,munmap,recvfrom,brk,mprotect,lseek,fcntl,sendto,write
1,14382.0,9445.6,7154.2,2674.5,2398.2,1461.2,1308.6,1294.4,1245.2,925.0,800.0,629.2,613.0,496.6,437.8,380.0,368.6,325.4,298.0,218.0
