t,setitimer,read,select,rt_sigaction,close,mmap,access,munmap,fstat,stat,open,fcntl,mprotect,brk,lstat,getpid,poll,lseek,write,recvfrom
0,7726.0,4587.0,3852.0,1071.0,519.0,407.0,397.0,364.0,321.0,284.0,254.0,232.0,158.0,121.0,120.0,82.0,81.0,80.0,64.0,63.0
t,setitimer,read,select,access,stat,open,rt_sigaction,close,lstat,mmap,fstat,munmap,poll,recvfrom,brk,lseek,fcntl,mprotect,sendto,write
1,16685.0,10313.0,8309.0,2805.0,2344.0,1778.0,1513.0,1428.0,1366.0,985.0,869.0,734.0,691.0,530.0,499.0,392.0,358.0,321.0,320.0,249.0
