t,stat,access,rt_sigaction,lstat,read,munmap,poll,recvfrom,close,open,mmap,fstat,sendto,lseek,fcntl,getpid,brk,getcwd,getdents,madvise
0,1315.0,1102.0,937.0,917.0,862.0,398.0,386.0,335.0,300.0,292.0,280.0,255.0,243.0,157.0,118.0,69.0,53.0,43.0,38.0,36.0
t,access,read,stat,lstat,rt_sigaction,open,poll,munmap,close,recvfrom,fstat,mmap,sendto,lseek,brk,fcntl,writev,getpid,write,times
1,1882.0,1669.0,1330.0,1053.0,1021.0,716.0,551.0,505.0,499.0,434.0,417.0,354.0,302.0,301.0,138.0,109.0,94.0,69.0,66.0,65.0
