t,stat,access,lstat,rt_sigaction,read,poll,recvfrom,close,mmap,sendto,open,fstat,munmap,lseek,fcntl,getpid,brk,getdents,mprotect,madvise
0,1414.0,963.0,952.0,906.0,567.0,306.0,275.0,238.0,208.0,185.0,167.0,158.0,153.0,112.0,83.0,71.0,33.0,32.0,28.0,27.0
1,2027.0,1859.0,1439.0,1363.5,715.0,458.0,451.0,404.0,396.0,357.0,332.0,274.0,245.0,241.0,86.0,68.0,56.0,52.0,49.0,48.0
