t,select,poll,recvfrom,sendto,stat,lstat,close,fcntl,read,fstat,access,open,pipe,wait4,rt_sigaction,clone,lseek,munmap,getcwd,write
0,990.0,684.0,666.0,342.0,313.0,244.0,236.0,234.0,183.0,130.0,106.0,95.0,93.0,92.0,32.0,32.0,28.0,17.0,15.0,13.0
1,990.0,684.0,666.0,342.0,313.0,244.0,236.0,234.0,183.0,130.0,106.0,95.0,93.0,92.0,32.0,32.0,28.0,17.0,15.0,13.0
