t,select,stat,lstat,poll,recvfrom,read,fcntl,close,access,sendto,fstat,open,setitimer,pipe,lseek,rt_sigaction,getcwd,write,wait4,munmap
0,509.0,342.0,207.0,205.0,195.0,159.0,111.0,107.0,92.0,89.0,83.0,56.0,52.0,33.0,27.0,24.0,22.0,16.0,13.0,12.0
1,4699.0,1441.0,1437.0,1255.0,1178.0,942.0,704.0,697.0,587.0,517.0,297.0,277.0,210.0,156.0,101.0,96.0,92.0,92.0,87.0,64.0
